GM_CODE,GM_NAAM,DM
GM0637,Zoetermeer,nee
GM0638,Zoeterwoude,nee
GM0642,Zwijndrecht,nee
GM0654,Borsele,nee
GM0664,Goes,nee
GM0668,West Maas en Waal,nee
GM0677,Hulst,belangstelling
GM0678,Kapelle,belangstelling
GM0687,Middelburg,belangstelling
GM0689,Giessenlanden,nee
GM0703,Reimerswaal,nee
GM0707,Zederik,nee
GM0715,Terneuzen,nee
GM0716,Tholen,nee
GM0717,Veere,nee
GM0718,Vlissingen,nee
GM0733,Lingewaal,nee
GM0736,De Ronde Venen,nee
GM0737,Tytsjerksteradiel,ja
GM0738,Aalburg,nee
GM0743,Asten,nee
GM0744,Baarle-Nassau,nee
GM0748,Bergen op Zoom,ja
GM0753,Best,ja
GM0755,Boekel,ja
GM0756,Boxmeer,nee
GM0757,Boxtel,nee
GM0758,Breda,nee
GM0762,Deurne,ja
GM0765,Pekela,nee
GM0766,Dongen,ja
GM0770,Eersel,nee
GM0772,Eindhoven,nee
GM0777,Etten-Leur,nee
GM0779,Geertruidenberg,nee
GM0784,Gilze en Rijen,nee
GM0785,Goirle,nee
GM0786,Grave,nee
GM0788,Haaren,nee
GM0794,Helmond,nee
GM0796,'s-Hertogenbosch,nee
GM0797,Heusden,nee
GM0798,Hilvarenbeek,nee
GM0809,Loon op Zand,nee
GM0815,Mill en Sint Hubert,nee
GM0820,Nuenen Gerwen en Nederwetten,ja
GM0823,Oirschot,ja
GM0824,Oisterwijk,ja
GM0826,Oosterhout,nee
GM0828,Oss,nee
GM0840,Rucphen,nee
GM0844,Schijndel,nee
GM0845,Sint-Michielsgestel,ja
GM0846,Sint-Oedenrode,nee
GM0847,Someren,nee
GM0848,Son en Breugel,ja
GM0851,Steenbergen,nee
GM0852,Waterland,nee
GM0855,Tilburg,ja
GM0856,Uden,nee
GM0858,Valkenswaard,nee
GM0860,Veghel,ja
GM0861,Veldhoven,nee
GM0865,Vught,nee
GM0866,Waalre,nee
GM0867,Waalwijk,ja
GM0870,Werkendam,nee
GM0873,Woensdrecht,nee
GM0874,Woudrichem,nee
GM0879,Zundert,nee
GM0880,Wormerland,nee
GM0881,Onderbanken,nee
GM0882,Landgraaf,nee
GM0888,Beek,nee
GM0889,Beesel,nee
GM0893,Bergen (L.),nee
GM0899,Brunssum,nee
GM0907,Gennep,nee
GM0917,Heerlen,ja
GM0928,Kerkrade,nee
GM0935,Maastricht,ja
GM0938,Meerssen,nee
GM0944,Mook en Middelaar,nee
GM0946,Nederweert,nee
GM0951,Nuth,nee
GM0957,Roermond,nee
GM0962,Schinnen,nee
GM0965,Simpelveld,nee
GM0971,Stein,nee
GM0981,Vaals,nee
GM0983,Venlo,ja
GM0984,Venray,nee
GM0986,Voerendaal,nee
GM0988,Weert,nee
GM0994,Valkenburg aan de Geul,nee
GM0995,Lelystad,nee
GM1507,Horst aan de Maas,ja
GM1509,Oude IJsselstreek,nee
GM1525,Teylingen,nee
GM1581,Utrechtse Heuvelrug,ja
GM1586,Oost Gelre,nee
GM1598,Koggenland,ja
GM1621,Lansingerland,nee
GM1640,Leudal,nee
GM1641,Maasgouw,nee
GM1651,Eemsmond,nee
GM1652,Gemert-Bakel,nee
GM1655,Halderberge,nee
GM1658,Heeze-Leende,ja
GM1659,Laarbeek,nee
GM1663,De Marne,nee
GM1667,Reusel-De Mierden,nee
GM1669,Roerdalen,nee
GM1674,Roosendaal,nee
GM1676,Schouwen-Duiveland,nee
GM1680,Aa en Hunze,nee
GM1681,Borger-Odoorn,nee
GM1684,Cuijk,nee
GM1685,Landerd,ja
GM1690,De Wolden,nee
GM1695,Noord-Beveland,nee
GM1696,Wijdemeren,nee
GM1699,Noordenveld,nee
GM1700,Twenterand,nee
GM1701,Westerveld,nee
GM1702,Sint Anthonis,nee
GM1705,Lingewaard,nee
GM1706,Cranendonck,nee
GM1708,Steenwijkerland,ja
GM1709,Moerdijk,nee
GM1711,Echt-Susteren,nee
GM1714,Sluis,nee
GM1719,Drimmelen,nee
GM1721,Bernheze,ja
GM1722,Ferwerderadiel,ja
GM1723,Alphen-Chaam,nee
GM1724,Bergeijk,ja
GM1728,Bladel,ja
GM1729,Gulpen-Wittem,nee
GM1730,Tynaarlo,nee
GM1731,Midden-Drenthe,ja
GM1734,Overbetuwe,nee
